name,slug,chains,contract_addresses,kyc_status,kyc_date,audit_status,audit_date,audit_score,verification_tier,renounced,kyc_certificate_urls,audit_report_urls,audit_certificate_urls
Wojak Original,wojak-original,,0xb3e0d6f08bbac73610bc29f1a3b91a124f356561,approved,2023-05-09,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Wojak%20Original%20KYC%20Certificate.png,,
1Doge Finance,1doge-finance,,0x40619dc9f00ea34e51d96b6ec5d8a6ad75457434,approved,2021-01-01,none,,,kyc-only,no,,,
SmartAi Token,smartai-token,,,approved,2023-02-28,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SmartAi%20Token%20KYC%20Certificate.png,,
PROFIT-IQ,profit-iq,Ethereum,0x78dfbe50896e637e2b845b613ea10a7ae152ba47,none,,completed,2024-04-17,90,audit-only,yes,,https://github.com/Assure-DeFi/Audits/blob/main/PROFIT-IQ_ADVANCED_04_23_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/PROFIT-IQ_ADVANCED_04_17_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/PROFIT-IQ_Advanced_04_14_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/PROFIT-IQ_Advanced_04_17_24.png
VEOI3,veoi3,Ethereum,0xbf03a8ff17bc0784fefa8680b9f701c98c8d8189,approved,2025-07-18,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/VEOI3%20KYC%20Certificate.png,,
Central,central,Bitrock,,rejected,2023-08-13,none,,,rejected,no,,,
CoinMerge,coinmerge,,,approved,2023-02-11,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/CoinMerge%20KYC%20Certificate.png,,
Ample,ample,Base,0x56f969228421f7b11af54240e3ecdfc3df068fbe,approved,2025-04-05,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Ample%20KYC%20Certificate.png,,
CFGI,cfgi,Ethereum,0xf75302720787c2a2176c87b1919059c4eaac8b98,approved,2025-05-22,none,,,kyc-only,yes,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/CFGI%20KYC%20Certificate%20New.png,,
Formula Inu,formula-inu,,0x2c022e58c5e3ee213f06f975fd8a0d3a6fe9ca1c,approved,2022-11-29,none,,,kyc-only,no,,,
Thor Financial,thor-financial,,0x8f47416cae600bccf9530e9f3aeaa06bdd1caa79,approved,2021-01-01,none,,,kyc-only,no,,,
0xCasino,0xcasino,,,approved,2023-02-22,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/0xCasino%20KYC%20Certificate.png,,
OpTrade Ai,optrade,Ethereum,0x72b658bd674f9c2b4954682f517c17d14476e417,none,2025-03-04,completed,,,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/OpTradeAi_ADV_03_04_25.pdf https://github.com/Assure-DeFi/Audits/blob/main/OpTradeAi_ADV_03_02_25.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/OpTradeAi_ADV_03_04_25.png
MEVDAO,mevdao,Ethereum,0x3b9c5bf4866eee8abeaec504d91d7d76440007c2,none,,completed,2023-09-06,98,audit-only,no,,https://github.com/Assure-DeFi/Audits/blob/main/MEVDAO_ERC%2020%20Token_09_06_2023.pdf https://github.com/Assure-DeFi/Audits/blob/main/MEVDAO_ERC%2020%20Token_09_05_2023.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/MEVDAO_ERC%2020%20Token_09_06_2023.png
STABLZ,stablz,,0xa4eb9c64ec359d093eac7b65f51ef933d6e5f7cd,approved,2023-01-31,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/STABLZ%20KYC%20Certificate.png,,
Street Racing Simulator,street-racing-simulator,Ethereum,,approved,2023-07-20,completed,2023-07-21,90,full,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Street%20Racing%20Simulator%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/SRS.Turbo_ERC%2020%20Token_07_21_2023.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/SRS-Turbo_ERC%2020%20Token_9_25_2023.png
Mao Coin,mao-coin,BSC,0x88932482880a5eafe2346a9e2c98fd63b3619786,approved,2024-01-13,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Mao%20Coin%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/MAO_TOKEN_1_15_24.pdf https://github.com/Assure-DeFi/Audits/blob/main/MAO_TOKEN_V2_1_15_24.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/MAO_TOKEN_1_15_24.png
Embark Finance,embark-finance,,0x440af7c75fc8cf9ebd97f04ee2b10ed406f68039,approved,2023-10-17,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/Embark%20Finance%20KYC%20Certificate.png,https://github.com/Assure-DeFi/Audits/blob/main/Embark_ERC%2020%20Token_10_31_2023.pdf https://github.com/Assure-DeFi/Audits/blob/main/Embark_ERC%2020%20Token_10_20_2023.pdf,https://github.com/Assure-DeFi/Audit-Certificates/blob/main/Embark%20Finance_ERC%2020%20Token_10_31_2023.png
ZelenskiyNFT,zelenskiynft,,0x1090144d6f2b77e127620fd5503be12f45b8d6c3,approved,2022-05-11,none,,,kyc-only,no,,,
SteamboatWillie,steamboatwillie,Bitrock,,approved,2024-04-13,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/SteamboatWillie%20KYC%20Certificate.png,,
EdgeOnChain,edgeonchain,Ethereum,,approved,2026-02-02,none,,,kyc-only,no,https://github.com/Assure-DeFi/KYC-Certificates/blob/main/EdgeOnChain%20KYC%20Certificate.png,,
Exchange Trade Coin,exchange-trade-coin,BSC,0xad9bc9d5d404f677a95bbdfa19eb9e364835076d,rejected,2023-10-16,none,,,rejected,no,,,
NoakArk DAO,noakark-dao,,0x61a47034276eb993e1c5e67bf1375ad0a48f10f6,approved,2021-01-01,none,,,kyc-only,no,,,
